,PROVINCIA,PRODUTO,TOTAL_VENTAS,GENERO,RANGO_ETARIO,ANIO
215,SANTIAGO DEL ESTERO,ZAPATILLA FILA FINDER MUJER,432,FEM,ADULTO,2019
216,SANTIAGO DEL ESTERO,ZAPATILLA FILA LUGANO 5.0 MUJER,397,FEM,ADULTO,2019
217,SANTIAGO DEL ESTERO,ZAPATILLA FILA EURO JOGGER WEDGE MUJER,389,FEM,ADULTO,2019
218,SANTIAGO DEL ESTERO,ZAPATILLA FILA TWISTING 2.0 MUJER,380,FEM,ADULTO,2019
219,TIERRA DEL FUEGO,ZAPATILLA FILA ETERNITY MUJER,74,FEM,ADULTO,2019
220,TIERRA DEL FUEGO,OJOTA FILA DRIFTER BASIC MUJER,68,FEM,ADULTO,2019
221,TIERRA DEL FUEGO,ZAPATILLA FILA SLIDE MUJER,56,FEM,ADULTO,2019
222,TIERRA DEL FUEGO,ZAPATILLA FILA EURO JOGGER SPORT MUJER,56,FEM,ADULTO,2019
223,TUCUMAN,ZAPATILLA FILA SLIDE MUJER,6232,FEM,ADULTO,2019
224,TUCUMAN,ZAPATILLA FILA DISRUPTOR II PREMIUM MUJER,3718,FEM,ADULTO,2019
225,TUCUMAN,OJOTA FILA DRIFTER BASIC MUJER,3354,FEM,ADULTO,2019
226,TUCUMAN,ZAPATILLA FILA LADY MUJER,3157,FEM,ADULTO,2019
227,TUCUMAN,ZAPATILLA FILA CREEP MUJER,3154,FEM,ADULTO,2019
228,BUENOS AIRES,ZAPATILLA FILA LUGANO 6.0 KIDS,26231,JUV,JUVENIL,2020
229,BUENOS AIRES,ZAPATILLA FILA EURO JOGGER SPORT KIDS,21711,JUV,JUVENIL,2020
230,BUENOS AIRES,ZAPATILLA FILA LUGANO 6.0 VLC BABY,13239,JUV,JUVENIL,2020
231,BUENOS AIRES,ZAPATILLA FILA ATTREK INFANTIL,9752,JUV,JUVENIL,2020
232,C.A.B.A.,ZAPATILLA FILA LUGANO 6.0 KIDS,1555,JUV,JUVENIL,2020
233,CATAMARCA,ZAPATILLA FILA LUGANO 6.0 KIDS,392,JUV,JUVENIL,2020
234,CATAMARCA,ZAPATILLA FILA ATTREK INFANTIL,308,JUV,JUVENIL,2020
235,CHACO,ZAPATILLA FILA EURO JOGGER SPORT KIDS,586,JUV,JUVENIL,2020
236,CHUBUT,ZAPATILLA FILA VOLT KIDS,616,JUV,JUVENIL,2020
237,CHUBUT,ZAPATILLA FILA EURO JOGGER SPORT KIDS,410,JUV,JUVENIL,2020
238,CHUBUT,ZAPATILLA FILA CLASSIC 92 BABY,371,JUV,JUVENIL,2020
239,CÓRDOBA,ZAPATILLA FILA LUGANO 6.0 KIDS,4759,JUV,JUVENIL,2020
240,CÓRDOBA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,4100,JUV,JUVENIL,2020
241,CÓRDOBA,ZAPATILLA FILA LUGANO 6.0 VLC BABY,3090,JUV,JUVENIL,2020
242,CORRIENTES,ZAPATILLA FILA LUGANO 6.0 KIDS,2825,JUV,JUVENIL,2020
243,CORRIENTES,ZAPATILLA FILA LUGANO 6.0 VLC BABY,991,JUV,JUVENIL,2020
244,CORRIENTES,ZAPATILLA FILA EURO JOGGER SPORT KIDS,608,JUV,JUVENIL,2020
245,CORRIENTES,REMERA BLOCK KIDS,440,JUV,JUVENIL,2020
246,ENTRE RÍOS,ZAPATILLA FILA LUGANO 6.0 KIDS,350,JUV,JUVENIL,2020
247,ENTRE RÍOS,ZAPATILLA FILA LUGANO 6.0 VLC BABY,206,JUV,JUVENIL,2020
248,JUJUY,ZAPATILLA FILA ATTREK INFANTIL,427,JUV,JUVENIL,2020
249,JUJUY,ZAPATILLA FILA LUGANO 6.0 KIDS,340,JUV,JUVENIL,2020
250,JUJUY,ZAPATILLA FILA EURO JOGGER SPORT KIDS,230,JUV,JUVENIL,2020
251,JUJUY,ZAPATILLA FILA LUGANO 6.0 BABY,156,JUV,JUVENIL,2020
252,LA PAMPA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,839,JUV,JUVENIL,2020
253,LA RIOJA,ZAPATILLA FILA LUGANO 6.0 KIDS,554,JUV,JUVENIL,2020
254,LA RIOJA,ZAPATILLA FILA ATTREK INFANTIL,336,JUV,JUVENIL,2020
255,MENDOZA,ZAPATILLA FILA CLASSIC 92 KIDS,3171,JUV,JUVENIL,2020
256,MENDOZA,ZAPATILLA FILA LUGANO 6.0 KIDS,2229,JUV,JUVENIL,2020
257,MENDOZA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,1784,JUV,JUVENIL,2020
258,MENDOZA,ZAPATILLA FILA LUGANO 6.0 VLC BABY,1474,JUV,JUVENIL,2020
259,MISIONES,ZAPATILLA FILA VOLT KIDS,144,JUV,JUVENIL,2020
260,MISIONES,BOTIN SINTETICO UMBRO VELOX JR,122,JUV,JUVENIL,2020
261,NEUQUÉN,ZAPATILLA FILA EURO JOGGER SPORT KIDS,1141,JUV,JUVENIL,2020
262,NEUQUÉN,ZAPATILLA FILA LUGANO 6.0 KIDS,1082,JUV,JUVENIL,2020
263,NEUQUÉN,ZAPATILLA FILA ATTREK INFANTIL,835,JUV,JUVENIL,2020
264,RÍO NEGRO,ZAPATILLA FILA VOLT KIDS,513,JUV,JUVENIL,2020
265,RÍO NEGRO,ZAPATILLA FILA EURO JOGGER SPORT KIDS,429,JUV,JUVENIL,2020
266,RÍO NEGRO,BOTIN SINTETICO UMBRO SPEED SONIC JUNIOR,213,JUV,JUVENIL,2020
267,SALTA,ZAPATILLA FILA LUGANO 6.0 KIDS,827,JUV,JUVENIL,2020
268,SALTA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,780,JUV,JUVENIL,2020
269,SALTA,ZAPATILLA FILA ATTREK INFANTIL,574,JUV,JUVENIL,2020
270,SAN JUAN,ZAPATILLA FILA LUGANO 6.0 KIDS,894,JUV,JUVENIL,2020
271,SAN JUAN,ZAPATILLA FILA ATTREK INFANTIL,534,JUV,JUVENIL,2020
272,SAN JUAN,ZAPATILLA FILA EURO JOGGER SPORT KIDS,534,JUV,JUVENIL,2020
273,SAN JUAN,ZAPATILLA FILA LUGANO 6.0 VLC BABY,390,JUV,JUVENIL,2020
274,SAN LUIS,ZAPATILLA FILA LUGANO 6.0 KIDS,376,JUV,JUVENIL,2020
275,SAN LUIS,ZAPATILLA FILA ATTREK INFANTIL,208,JUV,JUVENIL,2020
276,SAN LUIS,ZAPATILLA FILA EURO JOGGER SPORT KIDS,134,JUV,JUVENIL,2020
277,SANTA CRUZ,ZAPATILLA FILA EURO JOGGER SPORT KIDS,316,JUV,JUVENIL,2020
278,SANTA CRUZ,ZAPATILLA FILA ATTREK INFANTIL,258,JUV,JUVENIL,2020
279,SANTA CRUZ,MEDIAS DE FUTBOL TEAMWEAR KIDS,224,JUV,JUVENIL,2020
280,SANTA CRUZ,ZAPATILLA FILA LUGANO 6.0 VLC BABY,204,JUV,JUVENIL,2020
281,SANTA CRUZ,ZAPATILLA FILA VOLT KIDS,157,JUV,JUVENIL,2020
282,SANTA FE,ZAPATILLA FILA EURO JOGGER SPORT KIDS,5526,JUV,JUVENIL,2020
283,SANTA FE,ZAPATILLA FILA LUGANO 6.0 KIDS,3425,JUV,JUVENIL,2020
284,SANTA FE,ZAPATILLA FILA ATTREK INFANTIL,3029,JUV,JUVENIL,2020
285,SANTIAGO DEL ESTERO,ZAPATILLA FILA EURO JOGGER SPORT KIDS,741,JUV,JUVENIL,2020
286,SANTIAGO DEL ESTERO,ZAPATILLA FILA LUGANO 6.0 KIDS,470,JUV,JUVENIL,2020
287,SANTIAGO DEL ESTERO,ZAPATILLA FILA LUGANO 6.0 VLC BABY,387,JUV,JUVENIL,2020
288,SANTIAGO DEL ESTERO,ZAPATILLA FILA CLASSIC 92 KIDS,347,JUV,JUVENIL,2020
289,TIERRA DEL FUEGO,ZAPATILLA FILA EURO JOGGER SPORT KIDS,166,JUV,JUVENIL,2020
290,TIERRA DEL FUEGO,ZAPATILLA FILA SLANT SUMMER KIDS,118,JUV,JUVENIL,2020
291,TIERRA DEL FUEGO,ZAPATILLA FILA ATTREK INFANTIL,107,JUV,JUVENIL,2020
292,TIERRA DEL FUEGO,ZAPATILLA FILA VOLT KIDS,75,JUV,JUVENIL,2020
293,TIERRA DEL FUEGO,ZAPATILLA FILA F-RETRO SPORT 2.0 SL KIDS,42,JUV,JUVENIL,2020
294,TIERRA DEL FUEGO,ZAPATILLA FILA LUGANO 6.0 KIDS,38,JUV,JUVENIL,2020
295,TUCUMAN,ZAPATILLA FILA LUGANO 6.0 KIDS,7331,JUV,JUVENIL,2020
296,TUCUMAN,ZAPATILLA FILA ATTREK INFANTIL,4463,JUV,JUVENIL,2020
297,TUCUMAN,ZAPATILLA FILA EURO JOGGER SPORT KIDS,3093,JUV,JUVENIL,2020
298,BUENOS AIRES,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,19652,HOM,ADULTO,2020
299,BUENOS AIRES,ZAPATILLA FILA DISCOVERY HOMBRE,14521,HOM,ADULTO,2020
300,BUENOS AIRES,ZAPATILLA FILA SLANT FORCE HOMBRE,14074,HOM,ADULTO,2020
301,BUENOS AIRES,ZAPATILLA FILA LUGANO 6.0 HOMBRE,9858,HOM,ADULTO,2020
302,C.A.B.A.,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,1419,HOM,ADULTO,2020
303,C.A.B.A.,ZAPATILLA FILA TREND HOMBRE,1291,HOM,ADULTO,2020
304,C.A.B.A.,ZAPATILLA FILA DISCOVERY HOMBRE,1279,HOM,ADULTO,2020
305,C.A.B.A.,ZAPATILLA FILA LUGANO 6.0 HOMBRE,1143,HOM,ADULTO,2020
306,CATAMARCA,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,308,HOM,ADULTO,2020
307,CATAMARCA,ZAPATILLA FILA DISCOVERY HOMBRE,224,HOM,ADULTO,2020
308,CATAMARCA,ZAPATILLA FILA TREND HOMBRE,196,HOM,ADULTO,2020
309,CATAMARCA,ZAPATILLA FILA SLANT FORCE HOMBRE,182,HOM,ADULTO,2020
310,CHACO,ZAPATILLA FILA SLANT FORCE HOMBRE,342,HOM,ADULTO,2020
311,CHACO,ZAPATILLA FILA LUGANO 6.0 HOMBRE,308,HOM,ADULTO,2020
312,CHACO,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,296,HOM,ADULTO,2020
313,CHACO,ZAPATILLA FILA DISCOVERY HOMBRE,294,HOM,ADULTO,2020
314,CHUBUT,ZAPATILLA FILA LUGANO 6.0 HOMBRE,698,HOM,ADULTO,2020
315,CHUBUT,ZAPATILLA FILA DISCOVERY HOMBRE,633,HOM,ADULTO,2020
316,CHUBUT,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,543,HOM,ADULTO,2020
317,CHUBUT,ZAPATILLA FILA THUNDERBOLT HOMBRE,363,HOM,ADULTO,2020
318,CÓRDOBA,ZAPATILLA FILA DISCOVERY HOMBRE,4481,HOM,ADULTO,2020
319,CÓRDOBA,ZAPATILLA FILA LUGANO 6.0 HOMBRE,3770,HOM,ADULTO,2020
320,CÓRDOBA,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,3280,HOM,ADULTO,2020
321,CÓRDOBA,ZAPATILLA FILA ZERMAT HOMBRE,2455,HOM,ADULTO,2020
322,CORRIENTES,ZAPATILLA FILA LUGANO 6.0 HOMBRE,688,HOM,ADULTO,2020
323,CORRIENTES,ZAPATILLA FILA DISCOVERY HOMBRE,681,HOM,ADULTO,2020
324,CORRIENTES,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,449,HOM,ADULTO,2020
325,CORRIENTES,ZAPATILLA FILA RACER MOVE HOMBRE,434,HOM,ADULTO,2020
326,ENTRE RÍOS,ZAPATILLA FILA DISCOVERY HOMBRE,501,HOM,ADULTO,2020
327,ENTRE RÍOS,ZAPATILLA FILA LUGANO 6.0 HOMBRE,475,HOM,ADULTO,2020
328,ENTRE RÍOS,ZAPATILLA FILA SLANT FORCE HOMBRE,308,HOM,ADULTO,2020
329,ENTRE RÍOS,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,256,HOM,ADULTO,2020
330,JUJUY,ZAPATILLA FILA LUGANO 6.0 HOMBRE,294,HOM,ADULTO,2020
331,JUJUY,ZAPATILLA FILA SLANT FORCE HOMBRE,154,HOM,ADULTO,2020
332,JUJUY,ZAPATILLA FILA DISCOVERY HOMBRE,140,HOM,ADULTO,2020
333,LA PAMPA,ZAPATILLA FILA LUGANO 6.0 HOMBRE,743,HOM,ADULTO,2020
334,LA PAMPA,ZAPATILLA FILA DISCOVERY HOMBRE,740,HOM,ADULTO,2020
335,LA PAMPA,ZAPATILLA FILA TREND HOMBRE,458,HOM,ADULTO,2020
336,LA PAMPA,ZAPATILLA FILA RACER FLUID HOMBRE,434,HOM,ADULTO,2020
337,LA PAMPA,ZAPATILLA FILA EURO JOGGER SPORT HOMBRE,431,HOM,ADULTO,2020
338,LA RIOJA,ZAPATILLA FILA TREND HOMBRE,166,HOM,ADULTO,2020
339,LA RIOJA,ZAPATILLA FILA THUNDERBOLT HOMBRE,154,HOM,ADULTO,2020
340,LA RIOJA,ZAPATILLA FILA LUGANO 6.0 HOMBRE,154,HOM,ADULTO,2020
341,MENDOZA,ZAPATILLA FILA ZERMAT HOMBRE,1619,HOM,ADULTO,2020
342,MENDOZA,ZAPATILLA FILA BLACK ROCK HOMBRE,1397,HOM,ADULTO,2020
